id,query,product_title,product_description,median_relevance,query_in_title
1,30,975,12875,1.0,False
2,121,23002,13442,4.0,False
4,170,27237,11025,4.0,False
5,249,5364,10063,4.0,False
7,127,28099,21698,2.0,False
8,151,18668,4904,3.0,False
10,28,11165,9289,1.0,True
13,192,29450,12565,4.0,False
17,167,5532,20110,2.0,False
20,238,20709,12103,4.0,True
28,152,18633,8255,3.0,False
31,252,20253,11025,3.0,False
32,55,25015,14587,4.0,False
35,239,14723,10212,4.0,False
46,52,6012,15472,4.0,False
52,223,2361,10457,4.0,False
54,199,8873,4060,4.0,False
56,27,25528,2817,3.0,False
58,40,9529,7465,4.0,False
59,207,23737,10482,3.0,False
63,140,8930,11025,4.0,False
64,8,18467,11025,4.0,False
65,120,22127,1045,3.0,False
66,83,5286,20067,2.0,False
71,116,27148,17509,4.0,False
72,139,4965,3504,2.0,False
73,259,29665,11025,4.0,False
74,204,23667,17178,4.0,False
80,187,2947,11025,2.0,False
83,100,9670,11025,4.0,True
88,88,19926,601,4.0,False
89,48,5466,6193,4.0,False
90,134,23570,11025,4.0,False
91,112,16603,11025,2.0,False
94,103,9452,15396,3.0,False
98,53,28307,11346,4.0,False
103,60,12911,11025,4.0,False
105,103,5205,11277,1.0,False
108,73,18679,11025,4.0,False
109,160,20081,11025,4.0,False
110,204,27997,21337,4.0,False
112,173,20844,10150,4.0,True
113,25,3631,14599,4.0,False
115,255,29267,11025,4.0,False
119,170,11551,8464,2.0,False
122,131,14952,9586,4.0,False
124,83,5747,11025,4.0,False
126,108,16719,3429,3.0,False
135,232,26874,20809,2.0,False
136,68,20058,14703,4.0,False
143,245,5589,11025,4.0,False
145,64,9424,18839,3.0,False
151,121,23075,13457,4.0,False
161,213,8308,11025,3.0,False
164,115,13303,1605,2.0,False
171,53,3890,9667,3.0,False
172,68,8127,15731,4.0,False
173,100,22600,7942,3.0,True
176,167,5546,11025,4.0,False
181,70,24895,8446,4.0,False
183,11,10900,7982,2.0,False
189,22,3788,18374,4.0,False
194,202,6284,20711,2.0,False
195,21,19729,11025,4.0,True
197,128,21129,6223,2.0,False
199,121,25056,11719,2.0,False
200,96,10578,11025,3.0,False
201,96,26677,20695,2.0,False
204,20,29053,6327,4.0,False
211,179,5144,11025,4.0,False
214,68,27584,14577,4.0,False
215,124,14019,11025,4.0,False
217,183,12268,21789,4.0,False
218,170,14389,19333,4.0,False
220,114,13250,11025,4.0,False
221,257,25575,7287,4.0,True
228,166,26251,14470,4.0,False
230,96,10591,11025,4.0,False
232,184,24440,11025,4.0,False
241,173,21981,12088,3.0,True
243,168,970,1588,4.0,False
245,225,19014,19587,4.0,False
247,74,21770,12993,2.0,False
248,98,20520,4564,2.0,False
249,142,22416,14623,1.0,False
252,103,9409,18840,2.0,False
253,219,11184,16015,4.0,False
265,178,28202,3490,4.0,False
266,40,24104,1556,1.0,False
268,232,8984,6040,3.0,False
269,248,18715,11025,4.0,False
271,101,5625,8590,2.0,False
275,191,22511,9517,4.0,False
276,214,3229,12208,4.0,False
279,104,13416,11313,4.0,False
281,5,927,4934,3.0,True
289,93,8123,11025,2.0,False
290,61,5442,6,4.0,False
295,249,12570,11642,4.0,False
296,120,13794,14329,3.0,False
299,239,4205,17459,3.0,False
300,110,12952,11025,4.0,False
302,212,6277,15503,4.0,False
305,83,24815,11025,4.0,False
307,155,23872,9271,3.0,False
321,228,17837,12772,4.0,False
322,180,21426,13737,4.0,False
323,166,6652,11025,3.0,False
334,212,4336,3198,4.0,False
336,166,26246,12109,4.0,False
338,230,27439,11025,3.0,False
339,14,10697,11025,4.0,False
341,10,2013,7126,4.0,False
344,32,8888,21911,4.0,False
346,132,8109,9239,4.0,False
348,119,8438,21220,1.0,False
358,223,25799,20047,4.0,False
364,236,8279,6278,4.0,False
366,233,26952,11025,4.0,False
367,148,10957,7894,4.0,False
371,132,21896,20280,4.0,False
372,258,907,18021,4.0,False
374,11,2246,3000,3.0,False
381,9,11131,11025,4.0,False
388,170,11541,14014,2.0,False
389,69,7546,14171,4.0,False
392,52,5917,767,4.0,False
393,76,8503,5751,4.0,True
396,73,21300,17467,4.0,False
398,186,2153,6176,4.0,False
399,241,27714,4728,2.0,False
406,8,28736,14991,2.0,False
412,92,21990,11858,1.0,False
414,83,3743,14178,4.0,False
415,57,4492,3255,4.0,False
418,205,4211,11025,2.0,False
422,102,16707,13649,1.0,False
424,258,15508,17853,4.0,False
425,199,26571,3292,4.0,False
428,86,27498,11025,4.0,False
435,243,12631,11025,3.0,False
437,181,20965,12718,3.0,False
